date,predicted_sales,predicted_revenue,predicted_expense
2025-04-01,249.7235049618315,249.7235049618315,202.9003477814819
2025-04-02,160.95472372108907,160.95472372108907,130.77571302337813
2025-04-03,232.94195212731083,232.94195212731083,189.2653361034335
2025-04-04,160.9417399556304,160.9417399556304,130.76516371394308
2025-04-05,184.94173643086907,184.94173643086907,150.26516085007458
2025-04-06,152.94173637231285,152.94173637231285,124.26516080249758
2025-04-07,176.9417363713404,176.9417363713404,143.76516080170768
2025-04-08,258.6652413331555,258.6652413331555,210.16550858317612
2025-04-09,169.89646009241278,169.89646009241278,138.0408738250721
2025-04-10,241.88368849863457,241.88368849863457,196.53049690512745
2025-04-11,169.88347632695414,169.88347632695414,138.030324515637
2025-04-12,193.8834728021928,193.8834728021928,157.53032165176853
2025-04-13,161.8834727436366,161.8834727436366,131.53032160419153
2025-04-14,185.88347274266414,185.88347274266414,151.0303216034016
2025-04-15,267.6069777044792,267.6069777044792,217.43066938487004
2025-04-16,178.83819646373652,178.83819646373652,145.30603462676603
2025-04-17,250.8254248699583,250.8254248699583,203.79565770682137
2025-04-18,178.82521269827788,178.82521269827788,145.29548531733093
2025-04-19,202.82520917351655,202.82520917351655,164.79548245346245
2025-04-20,170.82520911496033,170.82520911496033,138.79548240588545
2025-04-21,194.82520911398788,194.82520911398788,158.29548240509553
2025-04-22,276.548714075803,276.548714075803,224.69583018656397
2025-04-23,187.7799328350603,187.7799328350603,152.57119542845996
2025-04-24,259.7671612412821,259.7671612412821,211.0608185085153
2025-04-25,187.76694906960168,187.76694906960168,152.56064611902485
2025-04-26,211.76694554484035,211.76694554484035,172.06064325515638
2025-04-27,179.76694548628413,179.76694548628413,146.06064320757937
2025-04-28,203.76694548531168,203.76694548531168,165.56064320678945
2025-04-29,285.49045044712676,285.49045044712676,231.9609909882579
2025-04-30,196.72166920638406,196.72166920638406,159.83635623015388
